Rk,Player,Age,Team,Pos,G,Games Started,Min Played,PER,True Shooting %,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
122,Tre Jones,26,CHI,PG,65,41,1752,18.7,63.7%,21.1%,36.8%,2.3,9.9,6.2,29.2,2,0.5,11.4,19.2,4.6,1.1,5.7,0.157,1.2,0.1,1.3,1.5,
123,Sandro Mamukelashvili,26,TOR,C,80,13,1751,18.1,63.7%,46.9%,25.0%,6.9,18.8,12.8,12.4,1.8,2.3,8.7,18.8,3.6,2.5,6.2,0.169,2.1,0.7,2.8,2.1,6MOY-10
124,Tobias Harris,33,DET,PF,63,63,1746,15,57.4%,33.8%,23.8%,3.6,16.9,10.4,12.5,1.6,1.5,8,18.8,2.6,2.7,5.3,0.145,0.6,0.8,1.4,1.5,
125,Precious Achiuwa,26,SAC,C,73,57,1745,16.2,55.8%,16.2%,23.2%,11,20.8,15.8,8.5,1.8,2.6,9,17.6,1.8,1.2,2.9,0.081,-0.5,-1.1,-1.6,0.2,
126,P.J. Washington,27,DAL,PF,56,53,1736,13.1,53.7%,35.6%,27.7%,5.2,18.7,12,8.1,1.5,2.9,11.3,20.1,-0.3,2,1.7,0.046,-1.7,0.1,-1.6,0.2,
127,Josh Giddey,23,CHI,PG,54,51,1731,18,56.2%,39.5%,31.8%,4.2,23.1,13.7,41.1,1.5,1.4,19.3,24.4,1.6,1.7,3.2,0.09,2.3,0.4,2.7,2,
128,RJ Barrett,25,TOR,SF,57,57,1726,17,58.5%,34.7%,34.2%,3.6,16.3,9.9,16.8,1.2,1.1,9.5,25.8,2,2,4,0.111,1,-0.7,0.2,1,
129,Jay Huff,27,IND,C,82,47,1719,15.2,59.8%,61.0%,16.2%,4.5,16.2,10.3,10.4,1.1,7.6,10.4,18,1.3,1.9,3.2,0.089,-0.9,1.3,0.4,1.1,
130,Norman Powell,32,MIA,SG,58,52,1717,17.5,60.9%,45.8%,35.5%,1.3,11,6.1,12.5,1.7,0.7,9.7,27.2,2.3,1.7,4,0.112,1.8,-0.3,1.6,1.5,AS
131,Cam Spencer,25,MEM,SG,72,20,1714,17.2,64.9%,58.5%,24.1%,2.5,9.2,5.8,33.1,1.4,0.6,13.1,17.2,4.7,0.6,5.3,0.149,3,-0.8,2.2,1.8,
